ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a State based table with the following filters applied: State(s) (All Years): All 50 + DC

State Name,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2021-22,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2020-21,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2019-20,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2018-19,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2017-18,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2016-17,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2015-16,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2014-15,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2013-14,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2012-13,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2011-12,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2010-11,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2009-10,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2008-09,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2007-08,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2006-07
ALABAMA,11862,10728,10140,10107,9717,9528,9258,9146,9036,8773,8577,8726,8907,8964,9197,8398
ALASKA,20186,19540,18313,18393,17726,17838,17510,20191,18466,18217,17475,16663,15829,15363,14641,12324
ARIZONA,10401,9571,8694,8773,8373,8053,7772,7590,7457,7495,7382,7782,7968,8022,7727,7316
ARKANSAS,12167,11239,10369,10412,10168,10004,9900,9805,9752,9538,9536,9496,9281,8854,8677,8391
CALIFORNIA,16967,14753,14042,13831,12664,12151,11420,10449,9671,9258,9329,9146,9300,9503,9706,8952
COLORADO,13447,12233,11647,11072,10238,9849,9619,9292,9036,8693,8594,8786,8926,8782,9152,8286
CONNECTICUT,23868,22216,20889,21140,20147,19929,19615,19020,18401,17321,16855,16224,15698,15353,14610,13659
DELAWARE,18793,16589,16777,15929,15282,14892,14397,13882,13793,13653,13580,12467,12222,12109,12153,11760
DISTRICT OF COLUMBIA,28128,25113,23754,22984,23161,22561,21135,20610,20577,20530,19847,20793,20910,19698,16353,15511
FLORIDA,11681,10823,10305,9986,9663,9374,9176,9113,8955,8623,8520,9030,8863,8867,9084,8567
GEORGIA,13569,12108,11686,11203,10760,10274,9835,9476,9236,9121,9272,9259,9432,9649,9718,9102
HAWAII,17420,16550,16564,16132,15242,14322,13748,12855,12400,11743,11973,11924,11714,12400,11800,11316
IDAHO,9662,9054,8337,8043,7846,7554,7178,6899,6577,6761,6626,6821,7100,7118,6951,6648
ILLINOIS,19188,18527,17483,16281,15912,15517,14327,13935,13213,12443,12011,11742,11739,11097,10353,9596
