"Notes","State","State Code","Year","Year Code",Births
,"Alabama","01","2007","2007",64804
,"Alabama","01","2008","2008",64546
,"Alabama","01","2009","2009",62475
,"Alabama","01","2010","2010",60050
,"Alabama","01","2011","2011",59354
,"Alabama","01","2012","2012",58448
,"Alabama","01","2013","2013",58167
,"Alabama","01","2014","2014",59422
,"Alabama","01","2015","2015",59657
,"Alabama","01","2016","2016",59151
,"Alabama","01","2017","2017",58941
,"Alabama","01","2018","2018",57761
,"Alabama","01","2019","2019",58615
,"Alabama","01","2020","2020",57647
,"Alabama","01","2021","2021",58054
,"Alabama","01","2022","2022",58149
,"Alabama","01","2023","2023",57858
,"Alabama","01","2024","2024",57934
"Total","Alabama","01",,,1071033
,"Alaska","02","2007","2007",11052
,"Alaska","02","2008","2008",11442
,"Alaska","02","2009","2009",11324
,"Alaska","02","2010","2010",11471
,"Alaska","02","2011","2011",11456
,"Alaska","02","2012","2012",11187
,"Alaska","02","2013","2013",11446
,"Alaska","02","2014","2014",11392
,"Alaska","02","2015","2015",11282
,"Alaska","02","2016","2016",11209
,"Alaska","02","2017","2017",10445
,"Alaska","02","2018","2018",10086
,"Alaska","02","2019","2019",9822
,"Alaska","02","2020","2020",9469
,"Alaska","02","2021","2021",9367
,"Alaska","02","2022","2022",9359
,"Alaska","02","2023","2023",9015
,"Alaska","02","2024","2024",8943
"Total","Alaska","02",,,189767
,"Arizona","04","2007","2007",102981
,"Arizona","04","2008","2008",99442
,"Arizona","04","2009","2009",92798
,"Arizona","04","2010","2010",87477
,"Arizona","04","2011","2011",85543
,"Arizona","04","2012","2012",86441
,"Arizona","04","2013","2013",85600
,"Arizona","04","2014","2014",86887
,"Arizona","04","2015","2015",85351
,"Arizona","04","2016","2016",84520
,"Arizona","04","2017","2017",81872
,"Arizona","04","2018","2018",80723
,"Arizona","04","2019","2019",79375
,"Arizona","04","2020","2020",76947
,"Arizona","04","2021","2021",77916
,"Arizona","04","2022","2022",78547
,"Arizona","04","2023","2023",78096
,"Arizona","04","2024","2024",78711
"Total","Arizona","04",,,1529227
,"Arkansas","05","2007","2007",41378
,"Arkansas","05","2008","2008",40669
,"Arkansas","05","2009","2009",39808
,"Arkansas","05","2010","2010",38540
,"Arkansas","05","2011","2011",38715
,"Arkansas","05","2012","2012",38347
,"Arkansas","05","2013","2013",37832
,"Arkansas","05","2014","2014",38511
,"Arkansas","05","2015","2015",38886
,"Arkansas","05","2016","2016",38274
,"Arkansas","05","2017","2017",37520
,"Arkansas","05","2018","2018",37018
,"Arkansas","05","2019","2019",36564
,"Arkansas","05","2020","2020",35251
,"Arkansas","05","2021","2021",35965
,"Arkansas","05","2022","2022",35471
,"Arkansas","05","2023","2023",35264
,"Arkansas","05","2024","2024",35395
"Total","Arkansas","05",,,679408
,"California","06","2007","2007",566414
,"California","06","2008","2008",551779
,"California","06","2009","2009",527020
,"California","06","2010","2010",510198
,"California","06","2011","2011",502120
,"California","06","2012","2012",503755
,"California","06","2013","2013",494705
,"California","06","2014","2014",502879
,"California","06","2015","2015",491748
,"California","06","2016","2016",488827
,"California","06","2017","2017",471658
,"California","06","2018","2018",454920
,"California","06","2019","2019",446479
,"California","06","2020","2020",420259
,"California","06","2021","2021",420608
,"California","06","2022","2022",419104
,"California","06","2023","2023",400108
,"California","06","2024","2024",402075
"Total","California","06",,,8574656
,"Colorado","08","2007","2007",70809
,"Colorado","08","2008","2008",70031
,"Colorado","08","2009","2009",68628
,"Colorado","08","2010","2010",66355
,"Colorado","08","2011","2011",65055
,"Colorado","08","2012","2012",65187
,"Colorado","08","2013","2013",65007
,"Colorado","08","2014","2014",65830
,"Colorado","08","2015","2015",66581
,"Colorado","08","2016","2016",66613
,"Colorado","08","2017","2017",64382
,"Colorado","08","2018","2018",62885
,"Colorado","08","2019","2019",62869
,"Colorado","08","2020","2020",61494
,"Colorado","08","2021","2021",62949
,"Colorado","08","2022","2022",62383
,"Colorado","08","2023","2023",61494
,"Colorado","08","2024","2024",64268
"Total","Colorado","08",,,1172820
,"Connecticut","09","2007","2007",41660
,"Connecticut","09","2008","2008",40399
,"Connecticut","09","2009","2009",38896
,"Connecticut","09","2010","2010",37708
,"Connecticut","09","2011","2011",37281
,"Connecticut","09","2012","2012",36539
,"Connecticut","09","2013","2013",36085
,"Connecticut","09","2014","2014",36285
,"Connecticut","09","2015","2015",35746
,"Connecticut","09","2016","2016",36015
,"Connecticut","09","2017","2017",35221
,"Connecticut","09","2018","2018",34725
,"Connecticut","09","2019","2019",34258
,"Connecticut","09","2020","2020",33460
,"Connecticut","09","2021","2021",35670
,"Connecticut","09","2022","2022",35332
,"Connecticut","09","2023","2023",34559
,"Connecticut","09","2024","2024",34599
"Total","Connecticut","09",,,654438
,"Delaware","10","2007","2007",12170
,"Delaware","10","2008","2008",12090
,"Delaware","10","2009","2009",11559
,"Delaware","10","2010","2010",11364
,"Delaware","10","2011","2011",11257
,"Delaware","10","2012","2012",11023
,"Delaware","10","2013","2013",10831
,"Delaware","10","2014","2014",10972
,"Delaware","10","2015","2015",11166
,"Delaware","10","2016","2016",10992
,"Delaware","10","2017","2017",10855
,"Delaware","10","2018","2018",10621
,"Delaware","10","2019","2019",10562
,"Delaware","10","2020","2020",10392
,"Delaware","10","2021","2021",10482
,"Delaware","10","2022","2022",10816
,"Delaware","10","2023","2023",10427
,"Delaware","10","2024","2024",10550
"Total","Delaware","10",,,198129
,"District of Columbia","11","2007","2007",8864
,"District of Columbia","11","2008","2008",9130
,"District of Columbia","11","2009","2009",9040
,"District of Columbia","11","2010","2010",9165
,"District of Columbia","11","2011","2011",9295
,"District of Columbia","11","2012","2012",9399
,"District of Columbia","11","2013","2013",9288
,"District of Columbia","11","2014","2014",9509
,"District of Columbia","11","2015","2015",9578
,"District of Columbia","11","2016","2016",9858
,"District of Columbia","11","2017","2017",9560
,"District of Columbia","11","2018","2018",9212
,"District of Columbia","11","2019","2019",9079
,"District of Columbia","11","2020","2020",8874
,"District of Columbia","11","2021","2021",8660
,"District of Columbia","11","2022","2022",8075
,"District of Columbia","11","2023","2023",7896
,"District of Columbia","11","2024","2024",7616
"Total","District of Columbia","11",,,162098
,"Florida","12","2007","2007",239165
,"Florida","12","2008","2008",231445
,"Florida","12","2009","2009",221394
,"Florida","12","2010","2010",214590
,"Florida","12","2011","2011",213414
,"Florida","12","2012","2012",213148
,"Florida","12","2013","2013",215407
,"Florida","12","2014","2014",219991
,"Florida","12","2015","2015",224269
,"Florida","12","2016","2016",225022
,"Florida","12","2017","2017",223630
,"Florida","12","2018","2018",221542
,"Florida","12","2019","2019",220002
